timestamp,BPM,Quality
1557544569388,64,ACQUIRING
1557544570393,65,ACQUIRING
1557544571394,65,ACQUIRING
1557544572388,65,ACQUIRING
1557544573418,65,ACQUIRING
1557544574366,65,ACQUIRING
1557544575363,62,ACQUIRING
1557544576363,62,ACQUIRING
1557544577363,62,ACQUIRING
1557544578375,67,LOCKED
1557544579363,67,LOCKED
1557544580338,67,LOCKED
1557544581338,68,LOCKED
1557544582338,69,LOCKED
1557544583400,69,LOCKED
1557544584337,68,LOCKED
1557544585338,67,LOCKED
1557544586338,66,LOCKED
1557544587319,65,LOCKED
1557544588381,65,LOCKED
1557544589314,65,LOCKED
1557544590320,64,LOCKED
1557544591314,64,LOCKED
1557544592314,65,LOCKED
1557544593306,65,LOCKED
1557544594289,65,LOCKED
1557544595328,64,LOCKED
1557544596289,64,LOCKED
1557544597289,65,LOCKED
1557544598301,65,LOCKED
1557544599289,65,LOCKED
1557544600264,66,LOCKED
1557544601263,66,LOCKED
1557544602263,71,LOCKED
1557544603278,71,LOCKED
1557544604264,71,LOCKED
1557544605264,69,LOCKED
1557544606249,68,LOCKED
1557544607239,68,LOCKED
1557544608238,68,LOCKED
1557544609239,69,LOCKED
1557544610239,69,LOCKED
1557544611238,69,LOCKED
1557544612234,69,LOCKED
1557544613306,72,LOCKED
1557544614228,72,LOCKED
1557544615215,72,LOCKED
1557544616214,72,LOCKED
1557544617213,71,LOCKED
1557544618190,66,LOCKED
1557544619197,63,LOCKED
1557544620187,63,LOCKED
1557544621188,64,LOCKED
1557544622188,64,LOCKED
1557544623187,65,LOCKED
1557544624171,65,LOCKED
1557544625164,66,LOCKED
1557544626164,65,LOCKED
1557544627164,64,LOCKED
1557544628164,64,LOCKED
1557544629166,65,LOCKED
1557544630164,66,LOCKED
1557544631139,66,LOCKED
1557544632164,67,LOCKED
1557544633134,67,LOCKED
1557544634146,67,LOCKED
1557544635164,66,LOCKED
1557544636139,66,LOCKED
1557544637144,66,LOCKED
1557544638114,66,LOCKED
1557544639138,66,LOCKED
1557544640138,67,LOCKED
1557544641114,73,LOCKED
1557544642114,73,LOCKED
1557544643098,73,LOCKED
1557544644098,72,LOCKED
1557544645088,72,LOCKED
1557544646089,72,LOCKED
1557544647087,72,LOCKED
1557544648088,71,LOCKED
1557544649073,72,LOCKED
1557544650088,72,LOCKED
1557544651065,72,LOCKED
1557544652064,72,LOCKED
1557544653063,75,LOCKED
1557544654064,75,LOCKED
1557544655055,75,LOCKED
1557544656044,75,LOCKED
1557544657044,74,LOCKED
1557544658039,74,LOCKED
1557544659039,75,LOCKED
1557544660039,74,LOCKED
1557544661039,74,LOCKED
1557544662039,74,LOCKED
1557544663014,75,LOCKED
1557544664014,75,LOCKED
1557544665019,75,LOCKED
1557544666017,82,LOCKED
1557544667016,81,LOCKED
1557544668019,80,LOCKED
1557544669015,79,LOCKED
1557544669989,78,LOCKED
1557544670994,77,LOCKED
1557544671988,77,LOCKED
1557544672988,78,LOCKED
1557544674000,78,LOCKED
1557544674989,79,LOCKED
1557544675973,79,LOCKED
1557544676968,79,LOCKED
1557544677966,79,LOCKED
1557544678963,78,LOCKED
1557544679970,78,LOCKED
1557544680963,78,LOCKED
1557544681963,78,LOCKED
1557544682938,78,LOCKED
1557544683938,78,LOCKED
1557544684938,78,ACQUIRING
1557544685938,78,ACQUIRING
1557544686938,78,ACQUIRING
1557544687938,78,ACQUIRING
1557544688913,77,ACQUIRING
1557544689913,77,LOCKED
1557544690913,78,LOCKED
1557544692130,77,LOCKED
1557544692913,77,LOCKED
1557544693924,77,LOCKED
1557544694888,76,LOCKED
1557544695919,75,LOCKED
1557544696892,76,LOCKED
1557544697888,76,LOCKED
1557544698893,76,LOCKED
1557544699868,76,LOCKED
1557544700888,76,LOCKED
1557544701869,76,LOCKED
1557544702862,76,LOCKED
1557544703864,75,LOCKED
1557544704871,75,LOCKED
1557544705864,73,LOCKED
1557544706863,74,LOCKED
1557544707843,75,LOCKED
1557544708838,76,LOCKED
1557544709838,76,LOCKED
1557544710843,76,LOCKED
1557544711838,76,LOCKED
1557544712838,76,LOCKED
1557544713819,77,LOCKED
1557544714813,78,LOCKED
1557544715820,78,LOCKED
1557544716813,77,LOCKED
1557544717813,78,LOCKED
1557544718813,78,LOCKED
1557544719796,80,LOCKED
1557544720788,77,LOCKED
1557544721788,76,LOCKED
1557544722788,77,LOCKED
1557544723788,77,LOCKED
1557544724788,77,LOCKED
1557544725768,78,LOCKED
1557544726763,78,LOCKED
1557544727770,78,LOCKED
1557544728763,78,LOCKED
1557544729763,78,LOCKED
1557544730763,78,LOCKED
1557544731763,78,LOCKED
1557544732763,78,LOCKED
1557544733738,78,LOCKED
1557544734738,78,LOCKED
1557544735738,78,LOCKED
1557544736738,78,ACQUIRING
1557544737738,78,ACQUIRING
1557544738743,78,ACQUIRING
1557544739713,78,LOCKED
1557544740713,78,LOCKED
1557544741719,78,LOCKED
1557544742713,78,LOCKED
1557544743713,78,LOCKED
1557544744718,78,LOCKED
1557544745688,78,LOCKED
1557544746687,78,LOCKED
1557544747696,78,LOCKED
1557544748688,78,LOCKED
1557544749688,78,LOCKED
1557544750672,76,LOCKED
1557544751699,75,LOCKED
1557544752663,75,LOCKED
1557544753668,74,LOCKED
1557544754663,74,LOCKED
1557544755663,73,LOCKED
1557544756663,73,LOCKED
1557544757663,71,LOCKED
1557544758637,72,LOCKED
1557544759644,70,LOCKED
1557544760659,69,LOCKED
1557544761638,69,LOCKED
1557544762638,71,LOCKED
1557544763638,71,LOCKED
1557544764638,71,LOCKED
1557544765620,73,LOCKED
1557544766613,72,LOCKED
1557544767613,72,LOCKED
1557544768613,71,LOCKED
1557544769619,71,LOCKED
1557544770613,71,LOCKED
1557544771594,67,LOCKED
1557544772588,65,LOCKED
1557544773588,64,LOCKED
1557544774598,63,LOCKED
1557544775605,63,LOCKED
1557544776568,62,LOCKED
1557544777569,62,LOCKED
1557544778585,63,LOCKED
1557544779569,63,LOCKED
1557544780561,69,LOCKED
1557544781563,69,LOCKED
1557544782563,69,LOCKED
1557544783563,69,LOCKED
1557544784537,68,LOCKED
1557544785538,69,LOCKED
1557544786538,67,LOCKED
1557544787539,67,LOCKED
1557544788549,66,LOCKED
1557544789537,66,LOCKED
1557544790518,65,LOCKED
1557544791513,63,LOCKED
